build_id,name,target_device,format,size_bytes,created_at
febc5f7d2873434ab90183a99ea5965481c483c4abd526673cafccd230545196,mobilenet-fp16-v2,apple_m3,coreml,7070065,2026-02-16T13:30:52.625900Z
46f56370e076d5490af2e41216b078ad87cb852ee02102af0ccb9307d37751f6,mobilenet-fp32,apple_m3,coreml,14038384,2026-02-16T13:30:38.375411Z
e695a8d8663ebe659622b697b1cc61f27ef610266102ebecb35354ad740018e4,,apple_m3,coreml,7070065,2026-02-16T03:07:44.263342Z
